user,answer-id,answer_valence,answer_arousal,peak_time,peak_valu,heartrate_ratio
5900,0,1,2.596832275390625,732,0.241870114470051,0.968365553602812
5900,1,5,3.210645751953125,403,-0.532055665220031,0.9527824620573356
5900,2,1,2.0765368652343748,258,-0.0664306637100349,0.9481865284974094
5900,3,5,4.3143420410156255,507,0.514941405579980,0.9482470784641068
5900,4,5,3.27659912109375,527,0.2006347681201585,0.9743150684931506
5900,5,1,2.682451171875,674,0.2419433574500278,0.9381698268755152
5900,6,1,2.0457482910156255,516,0.292211912800047,0.9492934330839568
5900,7,3.053638916015625,2.985198974609375,716,-0.171044923439994,0.9178082191780822
5900,8,5,4.397482910156249,683,-0.2019042941499353,0.9566724436741768
5900,9,1,2.032850341796876,342,0.4448486292799298,0.958904109589041
5900,10,2.978864746093749,1,616,-0.0816162146199346,0.9539748953974896
5900,11,2.500211181640625,2.566357421875,1868,0.1150146518901031,0.9764705882352941
5900,12,3.3326721191406246,2.56923828125,448,0.1237548815699582,0.9796610169491525
5900,13,2.0306530761718746,4.444617919921876,564,0.284912113050035,0.9425675675675675
5900,15,5,3.11557861328125,668,-0.518945311269947,0.918918918918919
5900,16,3.6578881835937485,3.4868896484375,289,-0.832714848170001,0.9082813891362422
5900,17,2.94528564453125,2.805777587890625,735,0.436767581699930,0.9529983792544571
5900,18,3,3,283,0.352929690550022,0.9582992641046607
5900,20,3.8183862304687497,3.495372314453125,317,-0.364819340189969,0.8911917098445595
5900,21,3.565379638671875,2.3504858398437496,663,0.1850830148100950,0.9803921568627451
5900,23,3.825390625,3.6197460937500003,468,1.00400390320003,0.973109243697479
5900,24,4.108227539062501,3.383477783203125,749,0.1534668002499888,0.964041095890411
5900,25,2.783670654296875,2.4308569335937498,488,-0.1958740246800214,0.9542709232096636
5900,26,3,2.65588623046875,1035,0.351879883940007,0.9006968641114983
5900,27,2.801998291015625,2.691435546875,394,0.01696777955005579,0.9627228525121556
5900,28,3.6792065429687493,3.0392993164062503,877,-0.1229980450600525,0.9680672268907563
5900,29,3,3,498,0.1919677766201335,0.9193277310924369
5900,30,1.4039208984375002,3.334085693359375,800,0.1711914049000391,0.9648
5900,31,2.6845776367187497,2.684134521484375,697,0.1330566429799464,0.9051094890510949
5900,32,5,5,266,-0.290478516330061,0.9433032046014791
5900,33,1.9569384765624998,2.4635852050781253,955,0.2172119145799520,0.961380443714051
5900,34,3.005125732421875,2.061834716796875,839,0.373950191070083,0.97893850042123
5900,35,1.547757568359375,2.63842529296875,735,0.4358886677000537,0.9579124579124579
5900,36,2.779666748046875,2.768580322265625,212,-0.1093505844399995,0.9528795811518325
5900,37,2.670616455078125,3,924,0.0960937451099681,0.9442567567567568
5900,38,3,2.3812829589843747,475,0.0613769476599834,0.8760907504363001
5900,40,1.7514038085937496,3.3259423828125,842,0.3982177708600147,0.9409888357256778
5900,41,5,4.5478491210937495,495,-0.336547856629991,0.9267489711934156
5900,42,1.5180993652343746,2.423193359375,732,-0.651123050000039,0.9447236180904522
5900,43,2.4124523925781247,2.4803369140625,710,0.1733642585100998,0.9724310776942355
5900,44,2.848419189453125,2.8171484375,1985,0.439086911149987,0.9582637729549248
5900,45,1.6647143554687505,3.710947265625,918,0.520263669450040,0.9596774193548387
5900,46,2.571448974609375,2.72781005859375,405,0.600219722990029,0.9614438063986874
5900,48,3.64592529296875,3.2632434082031248,663,0.082543947250096,0.96
5900,49,1,1.0930725097656253,918,1.05573730794994,0.9523076923076923
5900,50,3.7479736328125,3.764129638671875,641,0.00292968937996818,0.9502407704654896
5900,51,3.420340576171875,2.6461718750000003,493,-0.06083984440982881,0.9625407166123778
5900,52,3.6534631347656252,4.04345703125,781,0.3826171897500536,0.9501226492232215
5900,53,2.958138427734375,3.260107421875,450,-0.0322998092399480,0.961038961038961
5900,54,2.3662438964843746,3,394,-0.597021486559917,0.8950819672131147
5900,55,3.70728515625,2.974603271484375,661,-0.1144042948699386,0.9727564102564102
5900,57,3.77299560546875,3.196275634765625,1444,-0.1122070326000859,0.9185059422750425
5900,58,3.41300537109375,3.0714306640625,492,-0.1434570311100493,0.9609507640067911
5900,59,3.1088623046875,3,3300,2.979101569450019,0.8431703204047217
